Company,Position,Connected On
,,09 Nov 2022
Global Financial Media | Mubasher,Data Analyst,09 Nov 2022
,,09 Nov 2022
Protection for contracting & design,Engineering Trainee,09 Nov 2022
Zein El_Abdeen ,Database Administrator,09 Nov 2022
Freelance,Data Analyst,09 Nov 2022
Udacity,Data Analyst Nanodegree Graduate,09 Nov 2022
Raya CX,Reporting Analyst,06 Nov 2022
National Data Management,Software Engineer,06 Nov 2022
,,06 Nov 2022
,,06 Nov 2022
ECPC Egyptian Collegiate Programming Contest,Competitive ,05 Nov 2022
University of Louisville,Graduate Research Assistant,05 Nov 2022
Misr Chemical Industries Co. (M.C.I),operation engineer,05 Nov 2022
,,05 Nov 2022
,,05 Nov 2022
ARESCO for Manufacturing and Industrial Projects,Quality Control Engineer,05 Nov 2022
Information Technology Institute (ITI),Business Intelligence Analyst,05 Nov 2022
,Data Analyst,05 Nov 2022
REAL11 FANTASY SPORTS,HR,05 Nov 2022
عمل خاص,Data Analyst,05 Nov 2022
Amazon,Associate,05 Nov 2022
,,05 Nov 2022
GoodsMart,Junior Data and Growth Analyst,05 Nov 2022
,,05 Nov 2022
Minsitry of justice (outsource),Application Support Engineer,05 Nov 2022
,,05 Nov 2022
عمل مستقل,Full Stack Engineer,29 Oct 2022
DataEQ,Data Analyst,29 Oct 2022
,,27 Oct 2022
Sumitomo Electric,Information Technology Engineer,27 Oct 2022
Talent Stacker | Salesforce Career Development Program,Salesforce Certified Administrator,27 Oct 2022
Z2Data,"Senior Electronic ""Supply Chain Data  Interchange Analyst  ",27 Oct 2022
Valeo,Quality Assurance Engineer,27 Oct 2022
,,25 Oct 2022
Valeo,Implementation of ADAS  on an Electrical vehicle Graduation Project Mentorship,25 Oct 2022
Sama Medical Group,Data Analyst,25 Oct 2022
Upwork,Data Analyst,25 Oct 2022
ZKTeco,Software Engineer,24 Oct 2022
,,24 Oct 2022
Microsoft Learn Student Club - EELU,Data Analyst,24 Oct 2022
Freelance,Wordpress Developer,24 Oct 2022
Industrial Investments Company (Lakah Group),General Accountant /Data Analysis,24 Oct 2022
ALAMONTA Constructions,Civil Engineer,24 Oct 2022
,,24 Oct 2022
Freelance,Software Engineer,24 Oct 2022
,,24 Oct 2022
Fugro,Data Engineer,24 Oct 2022
Chest Hospital,Drug Dispensing & Drug Information Pharmacist,24 Oct 2022
Assiut University,Student,19 Oct 2022
nile drip,مراقب عام إنتاج,19 Oct 2022
HQ,IT help desk,19 Oct 2022
National Bank of Egypt (NBE),IT Governance,19 Oct 2022
Trendway,Marketing Analyst,19 Oct 2022
Huawei,Information Technology Technical Support,16 Oct 2022
Information Technology Institute (ITI),Business Intelligence Analyst & Devloper,16 Oct 2022
,,16 Oct 2022
